School_ID,State,Year,Subject,ISBN
11,QLD,3,MATHEMATICS,9781741353389
11,QLD,3,MATHEMATICS,9781877085451
11,QLD,3,MATHEMATICS,9789814629294
11,QLD,3,MATHEMATICS,9789810732967
11,QLD,3,MATHEMATICS,9781741351583
13,NT,3,MATHEMATICS,9780648237334
13,NT,3,MATHEMATICS,9781741351842
15,NSW,3,MATHEMATICS,9781741353389
15,NSW,3,ENGLISH,9780141354828
15,NSW,3,ENGLISH,9780142401088
15,NSW,3,MATHEMATICS,9781741351781
15,NSW,3,ENGLISH,9780849907685
15,NSW,3,MATHEMATICS,9781741351842
16,NSW,3,ENGLISH,9780732285432
16,NSW,3,MATHEMATICS,9781741351811
16,NSW,3,ENGLISH,9780648103066
16,NSW,3,MATHEMATICS,9781741351811
17,QLD,3,ENGLISH,9780190320249
30,SA,3,MATHEMATICS,9781925487237
30,SA,3,ENGLISH,9780190309961
33,NSW,3,MATHEMATICS,9781864412741
33,NSW,3,ENGLISH,9780190312589
33,NSW,3,MATHEMATICS,9781741351781
33,NSW,3,ENGLISH,9780190302689
35,NSW,3,ENGLISH,9780170416917
35,NSW,3,MATHEMATICS,9781488621833
36,QLD,3,MATHEMATICS,9781921358913
36,QLD,3,ENGLISH,9781877085451
36,QLD,3,ENGLISH,9781922246165
36,QLD,3,MATHEMATICS,9780733978586
37,NT,3,MUSIC,9780648396703
37,NT,3,ENGLISH,9781741353006
37,NT,3,ENGLISH,9781743305737
37,NT,3,ENGLISH,9780076044849
37,NT,3,MATHEMATICS,9780980790559
37,NT,3,ENGLISH,9781743305539
3,VIC,4,ENGLISH,9780190312541
3,VIC,4,ENGLISH,9780190302689
8,VIC,4,MATHEMATICS,9781925114300
8,VIC,4,MATHEMATICS,9781921535758
8,VIC,4,MATHEMATICS,9781921535758
8,VIC,4,MATHEMATICS,9781876081621
8,VIC,4,MATHEMATICS,9781876081638
8,VIC,4,ENGLISH,9781741250916
9,NSW,4,ENGLISH,9780648237334
9,NSW,4,ENGLISH,9780061992278
9,NSW,4,ENGLISH,9780670894383
9,NSW,4,ENGLISH,9781925487329
9,NSW,4,ENGLISH,9780190312589
9,NSW,4,MATHEMATICS,9780190322823
10,VIC,4,ENGLISH,9780190312541
10,VIC,4,MUSIC,9781876772055
10,VIC,4,MATHEMATICS,9781741351798
10,VIC,4,MATHEMATICS,9781741352306
10,VIC,4,ENGLISH,9781922116741
6,VIC,4,SCIENCE,9780190310776
6,VIC,4,ENGLISH,9780142401088
6,VIC,4,ENGLISH,9780141316253
6,VIC,4,ENGLISH,9780725334635
6,VIC,4,MATHEMATICS,9780190310738
6,VIC,4,ENGLISH,9781741353501
6,VIC,4,ENGLISH,9780190323219
6,VIC,4,ENGLISH,9780190303488
6,VIC,4,ENGLISH,9781925487466
6,VIC,4,MATHEMATICS,9781741351798
11,QLD,4,ENGLISH,9781741353402
11,QLD,4,ENGLISH,9780316382007
11,QLD,4,ENGLISH,9781741353501
13,NT,4,MATHEMATICS,9781741352306
15,NSW,4,ENGLISH,9780142408810
15,NSW,4,ENGLISH,9780007456208
15,NSW,4,MATHEMATICS,9781741353396
15,NSW,4,ENGLISH,9780224025720
15,NSW,4,ENGLISH,9780140364521
15,NSW,4,MATHEMATICS,9781741351798
15,NSW,4,ENGLISH,9780849907685
15,NSW,4,MATHEMATICS,9781741352306
16,NSW,4,ENGLISH,9781925360707
16,NSW,4,ENGLISH,9781460703212
16,NSW,4,ENGLISH,9780399205200
16,NSW,4,MATHEMATICS,9780190312657
16,NSW,4,MATHEMATICS,9780190322823
16,NSW,4,ENGLISH,9781474924481
16,NSW,4,HISTORY,9780190310776
16,NSW,4,LANGUAGES,9789620435942
16,NSW,4,LANGUAGES,9789620435904
17,QLD,4,MATHEMATICS,9781921750021
17,QLD,4,ENGLISH,9780190320256
26,QLD,4,ENGLISH,9781741352825
26,QLD,4,MATHEMATICS,9781741353389
26,QLD,4,MATHEMATICS,9781741351842
30,SA,4,MATHEMATICS,9781925487244
30,SA,4,RELIGIOUS EDUCATION,9780061441714
30,SA,4,ENGLISH,9780190303488
33,NSW,4,MATHEMATICS,9781864412758
33,NSW,4,ENGLISH,9781925487329
33,NSW,4,ENGLISH,9780190312596
33,NSW,4,MATHEMATICS,9781741351798
35,NSW,4,ENGLISH,9780170416917
35,NSW,4,MATHEMATICS,9781488621833
36,QLD,4,ENGLISH,9781877085475
36,QLD,4,MATHEMATICS,9780733978593
37,NT,4,MUSIC,9780648396710
37,NT,4,ENGLISH,9781741352979
37,NT,4,ENGLISH,9781743305751
37,NT,4,ENGLISH,9780076044856
37,NT,4,MATHEMATICS,9780980790559
37,NT,4,ENGLISH,9781743305751
3,VIC,5,ENGLISH,9780190312527
3,VIC,5,ENGLISH,9780190302689
3,VIC,5,COMPUTER SCIENCE,9781316779132
3,VIC,5,ENGLISH,9781740202978
8,VIC,5,MATHEMATICS,9781925114300
8,VIC,5,MATHEMATICS,9781921535758
8,VIC,5,MATHEMATICS,9781921535758
8,VIC,5,MATHEMATICS,9781876081621
8,VIC,5,MATHEMATICS,9781876081638
8,VIC,5,ENGLISH,9781741250923
9,NSW,5,ENGLISH,9780648237341
9,NSW,5,ENGLISH,9780702235467
9,NSW,5,ENGLISH,9780099999409
9,NSW,5,ENGLISH,9781925487336
9,NSW,5,ENGLISH,9780190312596
